Genus	Species	Marker	Sequence_Count	genDiv_mx	genDiv_mn	match_name
Allium	Allium_ampeloprasum	trnLtrnF	11	0.00659732884681692	0.00397411790274032	Allium_ampeloprasum_trnLtrnFtxt
Allium	Allium_atroviolaceum	trnLtrnF	12	0.0123195692149476	0.00301956473531202	Allium_atroviolaceum_trnLtrnFtxt
Allium	Allium_decipiens	rps16	7	0.00104166666666667	0.000416666666666667	Allium_decipiens_rps16txt
Allium	Allium_ericetorum	58SrRNA	4	0.0949092215256008	0.0422086919666145	Allium_ericetorum_58SrRNAtxt
Allium	Allium_moly	trnLtrnF	4	0.00411522633744856	0.00137174211248285	Allium_moly_trnLtrnFtxt
Allium	Allium_neapolitanum	58SrRNA	9	0.00463678516228748	0.00231839258114374	Allium_neapolitanum_58SrRNAtxt
Allium	Allium_nigrum	58SrRNA	4	0.00520833333333333	0.00208333333333333	Allium_nigrum_58SrRNAtxt
Allium	Allium_palentinum	trnLtrnF	4	0.00161290322580645	0.000537634408602151	Allium_palentinum_trnLtrnFtxt
Allium	Allium_roseum	trnLtrnF	6	0.00277777777777778	0	Allium_roseum_trnLtrnFtxt
Allium	Allium_saxatile	ITS	9	0.00975039001560063	0.0015600624024961	Allium_saxatile_ITStxt
Allium	Allium_schoenoprasum	rps16	15	0.00450519190727138	0.00100110804070354	Allium_schoenoprasum_rps16txt
Allium	Allium_sphaerocephalon	rbcL	4	0.0511885156451517	0.0204819785453169	Allium_sphaerocephalon_rbcLtxt
Allium	Allium_subvillosum	58SrRNA	8	0.00769230769230769	0.0010989010989011	Allium_subvillosum_58SrRNAtxt
Allium	Allium_trifoliatum	58SrRNA	8	0.00204731574158326	0.00113739763421292	Allium_trifoliatum_58SrRNAtxt
Allium	Allium_tulipifolium	rps16	19	0.0015992212487832	0.000693492939879477	Allium_tulipifolium_rps16txt
Allium	Allium_ursinum	ETS	24	0.0113421550094518	0.000945179584120983	Allium_ursinum_ETStxt
Allium	Allium_vineale	rbcL	4	0.00311541682060715	0.000616142945163278	Allium_vineale_rbcLtxt
Alnus	Alnus_alnobetula	matK	18	0.00999311242944908	0.000925072727360443	Alnus_alnobetula_matKtxt
Alnus	Alnus_glutinosa	rbcL	19	0.00830157099865162	0.000705988917306053	Alnus_glutinosa_rbcLtxt
Alnus	Alnus_incana	rbcL	13	0.0224993536620046	0.00159944969676197	Alnus_incana_rbcLtxt
Alopecurus	Alopecurus_aequalis	rbcL	22	0.00218526874972885	0.000606693140549163	Alopecurus_aequalis_rbcLtxt
Alopecurus	Alopecurus_geniculatus	rbcL	10	8.40477391158178e-05	0	Alopecurus_geniculatus_rbcLtxt
Alopecurus	Alopecurus_gerardii	matK	5	0.00492957746478873	0.00267300829493648	Alopecurus_gerardii_matKtxt
Alopecurus	Alopecurus_magellanicus	matK	23	0.00132102219145806	5.60475283040018e-05	Alopecurus_magellanicus_matKtxt
Alopecurus	Alopecurus_pratensis	rbcL	16	0.00028328611898017	0	Alopecurus_pratensis_rbcLtxt
Althaea	Althaea_officinalis	rbcL	7	0.00653518982119611	0.00172390486151132	Althaea_officinalis_rbcLtxt
Alyssum	Alyssum_austrodalmaticum	CHS	102	0.0137066831683168	0.00321782178217822	Alyssum_austrodalmaticum_CHStxt
Alyssum	Alyssum_collinum	rpoB	6	0.000897867564534231	0.000448933782267116	Alyssum_collinum_rpoBtxt
Alyssum	Alyssum_dasycarpum	trnLtrnF	5	0.00163934426229508	0	Alyssum_dasycarpum_trnLtrnFtxt
Alyssum	Alyssum_desertorum	matK	5	0.0144217040084182	0.00381339881218123	Alyssum_desertorum_matKtxt
Alyssum	Alyssum_fastigiatum	CHS	14	0.0118516510174604	0.00323218074111779	Alyssum_fastigiatum_CHStxt
Alyssum	Alyssum_foliosum	rpoB	6	0.00198895027624309	0.00110472845242887	Alyssum_foliosum_rpoBtxt
Alyssum	Alyssum_granatense	rpoB	8	0.00543901189451279	0.0027177967478726	Alyssum_granatense_rpoBtxt
Alyssum	Alyssum_hirsutum	rpoB	6	0.0027027027027027	0.000900900900900901	Alyssum_hirsutum_rpoBtxt
Alyssum	Alyssum_minutum	rpoB	8	0.0014360186399557	0.000478316326530612	Alyssum_minutum_rpoBtxt
Alyssum	Alyssum_montanum	CHS	107	0.00837415966782588	0.00300371650711558	Alyssum_montanum_CHStxt
Alyssum	Alyssum_montenegrinum	CHS	4	0.00677083333333333	0.0046875	Alyssum_montenegrinum_CHStxt
Alyssum	Alyssum_repens	CHS	6	0.0096041201783711	0.00820030494557588	Alyssum_repens_CHStxt
Alyssum	Alyssum_rhodanense	CHS	25	0.00599276345545002	0.00276019810293866	Alyssum_rhodanense_CHStxt
Alyssum	Alyssum_siculum	rpoB	14	0.00337876902138458	0.00077972344037733	Alyssum_siculum_rpoBtxt
Alyssum	Alyssum_simplex	rpoB	16	0.00355892537214165	0.000445530006782334	Alyssum_simplex_rpoBtxt
Alyssum	Alyssum_simulans	rpoB	4	0.0167577413479053	0.00654631374733789	Alyssum_simulans_rpoBtxt
Alyssum	Alyssum_umbellatum	rpoB	4	0.000749906261717285	0.000749063670411985	Alyssum_umbellatum_rpoBtxt
Amphoricarpos	Amphoricarpos_neumayerianus	rps16	28	0.00257123370283639	0.00040813286946059	Amphoricarpos_neumayerianus_rps16txt
Anacyclus	Anacyclus_pyrethrum	ITS	4	0.0071346318467029	0.00435685406892512	Anacyclus_pyrethrum_ITStxt
Anagallis	Anagallis_arvensis	rbcL	22	0.000450937950937951	0	Anagallis_arvensis_rbcLtxt
Anchusa	Anchusa_arvensis	rbcL	9	0.00166630260922072	0.000452079566003617	Anchusa_arvensis_rbcLtxt
Anchusa	Anchusa_crispa	matK	6	0.000754400736849179	0.000251335243154806	Anchusa_crispa_matKtxt
Andrachne	Andrachne_telephioides	26SrRNA	4	0.066848785322207	0.0314109610326828	Andrachne_telephioides_26SrRNAtxt
Androsace	Androsace_adfinis	rpl20rps12	114	0.00226724200980034	0.00112015800468149	Androsace_adfinis_rpl20rps12txt
Androsace	Androsace_alpina	rpl20rps12	131	0.00280495936081283	0.000173420516370392	Androsace_alpina_rpl20rps12txt
Androsace	Androsace_chamaejasme	rbcL	12	0.0036231884057971	0.000329380764163373	Androsace_chamaejasme_rbcLtxt
Androsace	Androsace_cylindrica	psbAtrnH	13	0.0405882352941176	0.00921430544048605	Androsace_cylindrica_psbAtrnHtxt
Androsace	Androsace_helvetica	rpl20rps12	142	0.00933693264830244	0.00141700966068654	Androsace_helvetica_rpl20rps12txt
Androsace	Androsace_lactea	rpl20rps12	80	0.00133069412332208	9.9736572333638e-05	Androsace_lactea_rpl20rps12txt
Androsace	Androsace_pubescens	rpl20rps12	40	0.00675262996604282	0.00305292246253609	Androsace_pubescens_rpl20rps12txt
Androsace	Androsace_vitaliana	rpl20rps12	189	0.00265757986929431	0.000783400978067111	Androsace_vitaliana_rpl20rps12txt
Andryala	Andryala_ragusina	Adh	4	0.00403225806451613	0.00134408602150538	Andryala_ragusina_Adhtxt
Anemone	Anemone_patens	rbcL	43	0.00451106385790884	0.000571369975734203	Anemone_patens_rbcLtxt
Anethum	Anethum_foeniculum	rbcL	21	0.00744900775973854	0.000431180691454664	Anethum_foeniculum_rbcLtxt
Angelica	Angelica_heterocarpa	ndhF	4	0.00160225621320722	0.000960614793467819	Angelica_heterocarpa_ndhFtxt
Angelica	Angelica_sylvestris	ndhF	5	0.00198511313073937	0.00145434533452353	Angelica_sylvestris_ndhFtxt
Antennaria	Antennaria_alpina	matK	4	0.00184566917627089	0.00107353730542136	Antennaria_alpina_matKtxt
Antennaria	Antennaria_dioica	matK	4	0.0421556022053207	0.0125154222299737	Antennaria_dioica_matKtxt
Anthemis	Anthemis_cretica	ITS	7	0.0172463471375971	0.0124428538471377	Anthemis_cretica_ITStxt
Anthemis	Anthemis_cupaniana	ITS	4	0.0562329000152061	0.0477809539124984	Anthemis_cupaniana_ITStxt
Anthoxanthum	Anthoxanthum_amarum	trnLtrnF	7	0.00134209841761129	0.000383582662063675	Anthoxanthum_amarum_trnLtrnFtxt
Anthoxanthum	Anthoxanthum_arcticum	matK	8	0.00172413793103448	0.000614020072148151	Anthoxanthum_arcticum_matKtxt
Anthoxanthum	Anthoxanthum_gracile	trnLtrnF	4	0.0027418723070897	0.00195848021934978	Anthoxanthum_gracile_trnLtrnFtxt
Anthoxanthum	Anthoxanthum_monticola	matK	10	0.00213675213675214	0.000237416904083571	Anthoxanthum_monticola_matKtxt
Anthoxanthum	Anthoxanthum_nitens	matK	5	0.000739644970414201	0	Anthoxanthum_nitens_matKtxt
Anthoxanthum	Anthoxanthum_odoratum	trnLtrnF	14	0.0050682302906997	0.00160696329813977	Anthoxanthum_odoratum_trnLtrnFtxt
Anthoxanthum	Anthoxanthum_ovatum	trnLtrnF	12	0.00167381525264149	0.00062744022904334	Anthoxanthum_ovatum_trnLtrnFtxt
Anthriscus	Anthriscus_caucalis	trnLtrnF	10	0.00353857041755131	0.000707714083510262	Anthriscus_caucalis_trnLtrnFtxt
Anthriscus	Anthriscus_cerefolium	trnLtrnF	9	0.0477707006369427	0.00995222929936306	Anthriscus_cerefolium_trnLtrnFtxt
Anthriscus	Anthriscus_sylvestris	trnLtrnF	18	0.0196215845917879	0.00490812423083219	Anthriscus_sylvestris_trnLtrnFtxt
Anthyllis	Anthyllis_montana	ITS	18	0.00556920457874236	0.00105901607778954	Anthyllis_montana_ITStxt
Antirrhinum	Antirrhinum_charidemi	matK	8	0.000796812749003984	0.000113830392714855	Antirrhinum_charidemi_matKtxt
Antirrhinum	Antirrhinum_controversum	matK	8	0.00239043824701195	0.00102447353443369	Antirrhinum_controversum_matKtxt
Antirrhinum	Antirrhinum_graniticum	matK	4	0.00269373550900907	0.00107184025175426	Antirrhinum_graniticum_matKtxt
Antirrhinum	Antirrhinum_latifolium	matK	10	0.00834938985228002	0.002503615339541	Antirrhinum_latifolium_matKtxt
Antirrhinum	Antirrhinum_majus	matK	85	0.00974123942955693	0.00142321699006028	Antirrhinum_majus_matKtxt
Antirrhinum	Antirrhinum_molle	matK	9	0.0014	0.000399203187250996	Antirrhinum_molle_matKtxt
Antirrhinum	Antirrhinum_pulverulentum	matK	7	0.00305444887118194	0.00199203187250996	Antirrhinum_pulverulentum_matKtxt
Antirrhinum	Antirrhinum_sempervirens	matK	5	0.0012	0.000798406374501992	Antirrhinum_sempervirens_matKtxt
Antirrhinum	Antirrhinum_siculum	matK	5	0.00487940710277171	0.00139442231075697	Antirrhinum_siculum_matKtxt
Antirrhinum	Antirrhinum_tortuosum	matK	6	0.00271171314741036	0.00111553784860558	Antirrhinum_tortuosum_matKtxt
Antirrhinum	Antirrhinum_valentinum	matK	5	0.00179282868525896	0.00099601593625498	Antirrhinum_valentinum_matKtxt
Apera	Apera_spica-venti	matK	4	0.00261816437206035	0	Apera_spicaventi_matKtxt
Apium	Apium_graveolens	matK	5	0.00189384101258809	0.000350631136044881	Apium_graveolens_matKtxt
Aquilegia	Aquilegia_vulgaris	rbcL	9	0.00185376527649618	0.000230627306273063	Aquilegia_vulgaris_rbcLtxt
Arabidopsis	Arabidopsis_arenosa	CHS	42	0.0183711364236505	0.0098630568557405	Arabidopsis_arenosa_CHStxt
Arabidopsis	Arabidopsis_halleri	CHS	70	0.0167805676975322	0.00322326856039479	Arabidopsis_halleri_CHStxt
Arabis	Arabis_alpina	rbcL	19	0.00385437520815183	0.000201288244766506	Arabis_alpina_rbcLtxt
Arabis	Arabis_auriculata	trnLtrnF	4	0.00368324125230203	0.00184162062615101	Arabis_auriculata_trnLtrnFtxt
Arabis	Arabis_bryoides	trnLtrnF	4	0.00746226557355352	0.00558283998954187	Arabis_bryoides_trnLtrnFtxt
Arabis	Arabis_ciliata	trnLtrnF	7	0.00406384996455231	0.000933706816059757	Arabis_ciliata_trnLtrnFtxt
Arabis	Arabis_collina	trnLtrnF	6	0.00914640947669899	0.00404480713670232	Arabis_collina_trnLtrnFtxt
Arabis	Arabis_hirsuta	trnLtrnF	74	0.0359809073045276	0.00393762190225296	Arabis_hirsuta_trnLtrnFtxt
Arabis	Arabis_juressi	trnLtrnF	8	0.0128463855746167	0.008165115891284	Arabis_juressi_trnLtrnFtxt
Arabis	Arabis_sagittata	trnLtrnF	25	0.012417251454355	0.00272351991912675	Arabis_sagittata_trnLtrnFtxt
Arabis	Arabis_soyeri	trnLtrnF	6	0.0160857908847185	0.0032171581769437	Arabis_soyeri_trnLtrnFtxt
Arabis	Arabis_stenocarpa	trnLtrnF	5	0.0342452591000948	0.0175070028011204	Arabis_stenocarpa_trnLtrnFtxt
Arbutus	Arbutus_unedo	rbcL	4	0.0182831458305114	0.00138312586445367	Arbutus_unedo_rbcLtxt
Arctagrostis	Arctagrostis_latifolia	matK	26	0.0027350340104011	0.000564822085477311	Arctagrostis_latifolia_matKtxt
Arctanthemum	Arctanthemum_arcticum	matK	8	0.00291917533296844	0.00291360438767651	Arctanthemum_arcticum_matKtxt
Arctium	Arctium_lappa	rbcL	12	0.0017373680381812	0	Arctium_lappa_rbcLtxt
Arctium	Arctium_minus	matK	16	0.00250909159573192	0.000211663597298956	Arctium_minus_matKtxt
Arctophila	Arctophila_fulva	matK	13	0.00142296995194061	0.000110083663584324	Arctophila_fulva_matKtxt
Arenaria	Arenaria_serpyllifolia	rbcL	16	0.00738686869987858	0.000376647834274953	Arenaria_serpyllifolia_rbcLtxt
Arenaria	Arenaria_tetraquetra	trnLtrnF	7	0.0460328829179581	0.00791139240506329	Arenaria_tetraquetra_trnLtrnFtxt
Aria	Aria_edulis	trnLtrnF	17	0.00464930924548353	0.000996280552603613	Aria_edulis_trnLtrnFtxt
Arisarum	Arisarum_vulgare	matK	6	0.145010989010989	0.000444444444444444	Arisarum_vulgare_matKtxt
Aristida	Aristida_adscensionis	trnLtrnF	15	0.00814192343894602	0.00124378109452736	Aristida_adscensionis_trnLtrnFtxt
Aristolochia	Aristolochia_lutea	matK	30	0.00411222959948597	0.00109942823851578	Aristolochia_lutea_matKtxt
Aristolochia	Aristolochia_microstoma	matK	8	0.0122112513737979	0.00276466368989752	Aristolochia_microstoma_matKtxt
Aristolochia	Aristolochia_nardiana	matK	8	0.00399913536591405	0.00313533588135057	Aristolochia_nardiana_matKtxt
Aristolochia	Aristolochia_pallida	matK	25	0.00735124471838535	0.00171295290562359	Aristolochia_pallida_matKtxt
Armeria	Armeria_filicaulis	trnLtrnF	31	0.00650041771094403	0.00166666666666667	Armeria_filicaulis_trnLtrnFtxt
Armeria	Armeria_gaditana	trnLtrnF	4	0.00685124489678569	0.00488758553274682	Armeria_gaditana_trnLtrnFtxt
Armeria	Armeria_hirta	matK	4	0.00289081609962197	0.00155659328441183	Armeria_hirta_matKtxt
Armeria	Armeria_leucocephala	28SrRNA	12	0.00112930547713156	0.000225861095426313	Armeria_leucocephala_28SrRNAtxt
Armeria	Armeria_macrophylla	trnLtrnF	7	0.00586510263929619	0.00430617769327447	Armeria_macrophylla_trnLtrnFtxt
Armeria	Armeria_maritima	matK	7	0.00286123032904149	0.00175014869786034	Armeria_maritima_matKtxt
Armeria	Armeria_multiceps	psbAtrnH	6	0.02125	0.005	Armeria_multiceps_psbAtrnHtxt
Armeria	Armeria_pungens	trnLtrnF	122	0.00723909570676217	0.00174024801943955	Armeria_pungens_trnLtrnFtxt
Armeria	Armeria_rouyana	trnLtrnF	4	0.00293255131964809	0.000977517106549365	Armeria_rouyana_trnLtrnFtxt
Armeria	Armeria_sardoa	28SrRNA	15	0.000798580301685892	0.000532386867790595	Armeria_sardoa_28SrRNAtxt
Armeria	Armeria_sulcitana	28SrRNA	6	0.00124223602484472	0.000745341614906832	Armeria_sulcitana_28SrRNAtxt
Armeria	Armeria_villosa	trnLtrnF	46	0.00588888888888889	0.00211111111111111	Armeria_villosa_trnLtrnFtxt
Armoracia	Armoracia_rusticana	matK	6	0.00102681570156236	0	Armoracia_rusticana_matKtxt
Arnebia	Arnebia_decumbens	rbcL	17	0.00186978775978467	0.000238549618320611	Arnebia_decumbens_rbcLtxt
Arnica	Arnica_angustifolia	matK	17	0.00406152842904808	0.000643623777413423	Arnica_angustifolia_matKtxt
Arnoseris	Arnoseris_minima	matK	4	0.00731706651109155	0.00242263590871947	Arnoseris_minima_matKtxt
Arrhenatherum	Arrhenatherum_album	26SrRNA	11	0.0263941366512134	0.00948982052645505	Arrhenatherum_album_26SrRNAtxt
Arrhenatherum	Arrhenatherum_elatius	ITS	35	0.0330957181012076	0.00597191314116387	Arrhenatherum_elatius_ITStxt
Arrhenatherum	Arrhenatherum_palaestinum	26SrRNA	5	0.0349095555766943	0.00982133068081344	Arrhenatherum_palaestinum_26SrRNAtxt
Artemisia	Artemisia_absinthium	matK	15	0.00535620494529161	0.000361206429474445	Artemisia_absinthium_matKtxt
Artemisia	Artemisia_annua	rbcL	11	0.0138369712434457	0.00144927536231884	Artemisia_annua_rbcLtxt
Artemisia	Artemisia_arborescens	rps16	7	0.00349162011173184	0.00139664804469274	Artemisia_arborescens_rps16txt
Artemisia	Artemisia_austriaca	psbAtrnH	6	0.0107254415413808	0.00723981900452489	Artemisia_austriaca_psbAtrnHtxt
Artemisia	Artemisia_campestris	psbAtrnH	20	0.0101460210841944	0.00015852885225111	Artemisia_campestris_psbAtrnHtxt
Artemisia	Artemisia_chamaemelifolia	psbAtrnH	5	0.00455580865603645	0.00113895216400911	Artemisia_chamaemelifolia_psbAtrnHtxt
Artemisia	Artemisia_pontica	rbcL	6	0.00144927536231884	0.00072463768115942	Artemisia_pontica_rbcLtxt
Artemisia	Artemisia_scoparia	psbAtrnH	27	0.034671261341255	0.00241643173580346	Artemisia_scoparia_psbAtrnHtxt
Artemisia	Artemisia_vulgaris	matK	19	0.00338819606181938	0.000874721352488849	Artemisia_vulgaris_matKtxt
Arum	Arum_cylindraceum	rps16	9	0.0285669191919192	0.0181277056277056	Arum_cylindraceum_rps16txt
Arum	Arum_italicum	matK	5	0.0142386183300716	0.00400985707601114	Arum_italicum_matKtxt
Arum	Arum_maculatum	rps16	9	0.113971159464836	0.0546179827403551	Arum_maculatum_rps16txt
Aruncus	Aruncus_dioicus	rbcL	9	0.00206224416417745	0.000226449275362319	Aruncus_dioicus_rbcLtxt
Arundo	Arundo_plinii	rbcL	6	0.00526849037487335	0.00121580547112462	Arundo_plinii_rbcLtxt
Asplenium	Asplenium_adiantum-nigrum	trnLtrnF	16	0.0382937209497454	0.00273907218221403	Asplenium_adiantumnigrum_trnLtrnFtxt
Asplenium	Asplenium_cuneifolium	trnLtrnF	9	0.00836354399479313	0.00168463611859838	Asplenium_cuneifolium_trnLtrnFtxt
Asplenium	Asplenium_hispanicum	trnLtrnF	8	0.0409902597402597	0.00683788754598003	Asplenium_hispanicum_trnLtrnFtxt
Asplenium	Asplenium_onopteris	rbcL	12	0.0240577969947974	0.00257242466565092	Asplenium_onopteris_rbcLtxt
Asplenium	Asplenium_petrarchae	psbAtrnH	7	0.00245098039215686	0.000919117647058823	Asplenium_petrarchae_psbAtrnHtxt
Asplenium	Asplenium_ruta-muraria	rbcL	28	0.0164663008067675	0.00508252248893496	Asplenium_rutamuraria_rbcLtxt
Asplenium	Asplenium_trichomanes	rbcL	28	0.00742405704783545	0.00246918115555404	Asplenium_trichomanes_rbcLtxt
Asplenium	Asplenium_viride	rbcL	13	0.00105731125665238	0	Asplenium_viride_rbcLtxt
Aster	Aster_alpinus	matK	5	0.0175376023590309	0.00408163265306122	Aster_alpinus_matKtxt
Astragalus	Astragalus_alpinus	rbcL	22	0.0822711163352996	0.0038944946008143	Astragalus_alpinus_rbcLtxt
Astragalus	Astragalus_arpilobus	rbcL	10	0.0193205102253186	0.00211640211640212	Astragalus_arpilobus_rbcLtxt
Astragalus	Astragalus_austriacus	matK	20	0.000607955532395345	8.68507903421921e-05	Astragalus_austriacus_matKtxt
Astragalus	Astragalus_danicus	rbcL	7	0.0213446245413887	0.00351887396033269	Astragalus_danicus_rbcLtxt
Astragalus	Astragalus_filicaulis	matK	4	0.0143857656634488	0.00567281687022974	Astragalus_filicaulis_matKtxt
Astragalus	Astragalus_hamosus	rbcL	4	0.0129791446613351	0.0043050430504305	Astragalus_hamosus_rbcLtxt
